Track ID,accousticness,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
0F8C3ARzs6FNUzPlBpVxJY,0.000782,0.447,69600,0.851,1.78E-06,11,0.608,-5.246,0,0.0386,114.133,4,0.449,1
3RoRgmRrDya2ltHoNvPOkF,0.861,0.546,229867,0.337,6.28E-06,11,0.156,-7.134,0,0.0252,84.909,4,0.255,2
12MCtbckqyLvaOjG7u7UnI,0.00123,0.514,228502,0.856,6.34E-06,2,0.544,-4.285,1,0.0717,117.014,4,0.351,2
1AO273oogzWXHmXckUHipk,0.00832,0.756,264030,0.776,0.00128,4,0.15,-5.873,1,0.0746,122.982,4,0.807,2
0Er3YHnMhHvjSyHusJpvpB,0.725,0.578,204920,0.472,0.00674,5,0.126,-11.385,1,0.0335,135.95,4,0.338,2
1V8kBIm4evDKD3IBplKf3D,0.771,0.293,189911,0.231,0.000717,2,0.0722,-15.142,0,0.0347,73.954,4,0.0399,1
0udXpdewx0TqH5AWOP4RIY,0.412,0.538,262514,0.664,0.000191,8,0.72,-10.294,0,0.273,95.278,4,0.627,1
1PD6aNd84vThTS2EcINapm,0.193,0.566,282667,0.846,0.000452,4,0.283,-6.8,1,0.0476,205.94,4,0.897,1
7iiSNaTl7uGAaLiKnQC9ot,0.932,0.207,278379,0.168,0.874,8,0.167,-21.598,0,0.0502,69.138,4,0.0324,1
5QaG3tbL4UQnqRRRZNmXvC,0.135,0.546,251360,0.603,0,4,0.0543,-7.93,1,0.0291,116.973,4,0.304,1
43IMaycr34ZR5kS8mlL5hH,0.672,0.69,205733,0.377,1.06E-06,7,0.106,-7.907,1,0.0793,104.924,4,0.18,2
4rKgnSL0OriKojAcS1rGQ9,0.393,0.514,211813,0.779,2.80E-06,11,0.708,-6.016,1,0.204,104.564,4,0.53,2
4wOgNWU6Y6mixNZcimJqDv,0.000913,0.342,327392,0.787,0.0114,11,0.121,-5.322,0,0.0372,116.773,4,0.152,2
30O2LILRUDHmfLa9scND3k,0.068,0.754,175191,0.681,0,6,0.0591,-4.846,1,0.0315,103.011,4,0.845,2
1yLSv3RVh0BzTnaGlTapsP,0.224,0.624,245925,0.549,5.03E-06,9,0.165,-8.637,0,0.0655,121.903,4,0.407,2
1P4b1iR2dWEjWmVVIkGiA6,0.6,0.504,279080,0.461,0.00015,5,0.113,-7.402,1,0.027,149.914,3,0.417,1
25J2bLknZoRzHjAO2NlfJH,0.0494,0.899,182330,0.654,0,2,0.203,-5.38,1,0.127,130.006,4,0.225,2
5hc1hrIYxTJQTVZkPUn9Po,0.000589,0.553,211773,0.829,2.20E-05,8,0.117,-4.429,1,0.105,142.901,4,0.424,2
0OTIiplHpDNEqHsKqglrWS,0.264,0.641,179253,0.75,0,8,0.151,-4.922,1,0.336,78.863,4,0.436,2
6RRQLwNMxIEZvdyxKUZVXK,0.621,0.824,95943,0.438,0,2,0.227,-4.906,1,0.0293,114.078,4,0.739,1
6XNANAB7sFvkfho6bMCp7o,0.135,0.569,270960,0.86,0,9,0.153,-4.116,1,0.043,90.937,4,0.289,3
6szKujbGsJAtL4cQ4yF8PK,0.206,0.43,733567,0.386,0.89,2,0.0881,-19.827,0,0.0903,90.184,4,0.0632,1
5dFHLlQzgcIU8u0jautCcP,0.327,0.515,299320,0.683,1.53E-06,2,0.241,-8.192,0,0.0355,147.997,4,0.23,2
00hXgZOU2yu4SPznb75djZ,0.189,0.355,686520,0.784,0.858,10,0.188,-10.279,0,0.142,175.041,5,0.345,1
1t7CYVNeWFsmMrU2W4N9W3,0.0523,0.409,126346,0.604,0.0619,7,0.232,-7.363,1,0.0771,157.624,4,0.637,2
5Uym8nZf9WyDsxPuum3ntT,0.127,0.749,182623,0.703,0,1,0.0775,-6.639,1,0.0341,95.975,4,0.644,2
67qz8HVZU1r0Q9MUJQ9AAi,0.00601,0.883,213029,0.657,0,7,0.126,-7.022,1,0.0884,93.499,4,0.648,2
